,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
791,Jennifer Hudson,Jennifer Hudson,Spotlight,2008-09-30,57,-0.5600058546991312,0.3183483198151503,0.21210486764986394,-0.1569831916357758,1.5831878097882373,0.6164255371274666,-0.7613108760735174,0.932153873473252,-1.2186800727216054,-0.5070853341521147,-0.41288535817620475,0.07684638870544681,0.543971606183639,0,dance
792,Sensual Seduction,Snoop Dogg,Sensual Seduction,2007-01-01,57,-0.7650436215005771,0.6711971764029236,0.8567294658935739,-0.15655524273222277,1.5831878097882373,0.5041364461239365,-0.8667148789878182,0.8897242661853295,0.8205599011451459,-0.323758064158041,-0.004093817937822428,0.07684638870544681,-0.13860566776965788,1,positive
793,Dreaming Out Loud,OneRepublic,Stop And Stare,2007-01-01,57,-0.4565059293519899,-1.2298660509271186,1.0409079225346343,-0.1569831916357758,-0.3432833518766878,-0.02638421126234506,-0.7345887344896102,0.741220640677601,0.8205599011451459,-0.6968077414715631,-1.0166198898280239,0.07684638870544681,-1.2527479278353617,1,positive
794,Back Of My Lac',J. Holiday,Suffocate - Superclean,2007-01-01,57,2.359574977842031,-1.4746999514165935,-1.5007547791119942,-0.1569831916357758,1.0327674778839728,-0.11942794126963126,-0.4198612891680361,-1.289973466350035,-1.2186800727216054,2.7970689506247948,-1.3696455208738552,4.779014605708969,-0.3896179556105477,3,driving
795,Rockferry,Duffy,Mercy,2008-01-01,57,0.5250265380396207,0.9376340681120585,1.0409079225346343,-0.1525800179460395,-1.4441240156852164,-0.12268447181988627,-0.3085190325684225,0.9879044039794755,0.8205599011451459,-0.6968077414715631,0.35236918718282806,0.07684638870544681,1.8871075323498034,1,positive
796,LAX,The Game,My Life,2008-01-01,56,-0.42118841928092743,0.051911428106016205,0.4638154250593129,-0.1569831916357758,1.5831878097882373,2.3496588308184583,-0.8748799778051232,0.3736618333578076,0.8205599011451459,2.7011418907441747,1.0184518337023856,0.07684638870544681,-0.671456313888038,3,driving
797,Tha Carter III,Lil Wayne,Got Money,2008-06-10,56,-0.7705374564005202,0.2247353578632921,-0.1746698912963618,-0.1569831916357758,0.4823471459797086,0.4822466843801171,3.7220706563375856,0.45852104793365234,0.8205599011451459,0.207038333848056,-1.3820785760380956,0.07684638870544681,0.7333317531513276,1,positive
798,Ultimate Santana,Santana,Into the Night (feat. Chad Kroeger),2007-09-25,56,-0.7125578773671927,-0.4881633523854735,0.948818694214104,-0.1569831916357758,0.4823471459797086,-0.060981787709791214,0.44118549520230826,0.5419001599296862,0.8205599011451459,-0.6978735976924587,0.28179331522110695,0.07684638870544681,0.29736304269083486,1,positive
799,Scouting For Girls (Expanded Edition),Scouting For Girls,Heartbeat,2007-09-17,55,-0.4731836424411027,-0.6609872821427502,0.930400848549998,-0.1569831916357758,-0.893703683780952,-1.2003757172253322,-0.5163579115543677,0.9642227627024956,0.8205599011451459,-0.43354125491030604,1.2739511173275375,0.07684638870544681,1.4335239244969677,1,positive
800,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,I Gotta Feeling,2009-01-01,72,-0.3515344410852209,0.5847852115242852,0.4699547069473482,-0.1569831916357758,-1.4441240156852164,1.572009129494403,2.482460199528555,-0.29534453271687644,0.8205599011451459,-0.76822010827158,0.28124479808150804,0.07684638870544681,0.3281891131274354,1,positive
801,The Fame,Lady Gaga,Poker Face,2008-01-01,74,-0.20094450230999636,1.3552918983588098,0.7155259824687619,-0.15696290735248597,-0.3432833518766878,0.3004196477921941,-0.3975928378481134,0.5705154764727036,0.8205599011451459,-0.2118431609639843,-0.04665874797069455,0.07684638870544681,1.1076483227386198,1,positive
802,I AM...SASHA FIERCE,Beyoncé,Halo,2008-11-17,73,0.5544577964321729,-1.1146500977556006,0.18754774009772257,-0.1569831916357758,1.5831878097882373,0.8988377428916874,-0.8778491046477794,-0.0649418977929257,-1.2186800727216054,-0.381314300086413,-1.4733883958766536,0.07684638870544681,-0.2795248469084032,0,dance
803,One Love (Deluxe),David Guetta,Sexy Bitch (feat. Akon),2009-08-21,64,-0.4015675803525594,1.081654009576455,-0.3834054754895634,-0.1493642169366816,1.5831878097882373,-0.7119695902634012,-0.32336466678170434,0.3741552008844115,-1.2186800727216054,-0.5326658834536133,0.35602596811348697,0.07684638870544681,1.1693004636118207,0,dance
804,R.O.O.T.S. (Route of Overcoming the Struggle),Flo Rida,Right Round,2009-03-30,72,-0.735612363108025,0.4119612817670085,-0.10713779052797306,-0.1569831916357758,0.4823471459797086,-0.4968182072176055,0.4263398609890265,-0.530680842906865,0.8205599011451459,-0.46338522909538776,0.17227272634786686,0.07684638870544681,0.7465429261955849,1,positive
805,Fearless (Big Machine Radio Release Special),Taylor Swift,Love Story,2008-11-11,73,-0.13717677579280022,-0.32974141677463653,0.3164726597464647,-0.1569831916357758,-0.893703683780952,0.27755047836408747,-0.7227122271189846,0.8912043687651406,0.8205599011451459,-0.7191907221103743,-0.047207265110293446,0.07684638870544681,-1.0105430886906435,1,positive
806,808s & Heartbreak,Kanye West,Heartless,2008-11-24,82,-0.5271409494941148,0.9160310768923989,-0.26061983772885655,-0.1569831916357758,1.307977643836105,-0.341092385415937,0.5451049346952808,-0.10194446228820654,-1.2186800727216054,0.39889245360929604,-1.1802608364750196,0.07684638870544681,0.5219529844432101,0,dance
807,The Blueprint 3,JAY-Z,Empire State Of Mind,2009-09-08,80,-0.6350555636001389,-1.2370670480003385,1.6364182656740613,-0.1569831916357758,1.5831878097882373,1.2729714782894066,2.118742161303152,2.091074193465459,0.8205599011451459,3.127484379102486,1.9494316908388893,0.07684638870544681,1.2133377070926787,3,driving
808,The Fame Monster (Deluxe Edition),Lady Gaga,Bad Romance,2009-11-05,80,-0.7643568921380842,0.23913735200973182,1.4215433995928253,-0.15633508404773597,-1.4441240156852164,1.7052085745574654,-0.6707525073724985,0.9972783869849469,0.8205599011451459,-0.6637661986237939,-0.04658561235208102,0.07684638870544681,0.7861764453283571,1,positive
809,Only By The Night,Kings of Leon,Sex on Fire,2008-09-23,78,-0.771322289957655,-0.8698161972661255,1.32331488938426,-0.028351151261458298,1.0327674778839728,-0.5285020458042972,-0.2862505812484998,0.06086682149103078,0.8205599011451459,-0.4751096475252413,1.2112373243667338,0.07684638870544681,-0.7110898330208101,1,positive
810,We Sing. We Dance. We Steal Things.,Jason Mraz,I'm Yours,2008-05-12,77,1.962252989542579,0.2895443315222709,-1.5068940610000296,-0.1569831916357758,1.5831878097882373,0.4411115616400537,-0.5735136032755027,-1.7537389413575593,0.8205599011451459,-0.6062099626954219,1.122085005277265,0.07684638870544681,0.7773689966321854,2,study
811,Walking On A Dream (10th Anniversary Edition),Empire of the Sun,Walking On A Dream,2008-10-03,76,0.4808796504507927,1.499311839823207,0.07090138422505111,-0.1568901807758128,-0.06807318592455565,-0.6486263982821251,-0.8585497801705131,0.08997550556065163,-1.2186800727216054,-0.5625098576386951,0.24500609905867626,0.07684638870544681,0.7949838940245286,0,dance
812,She Wolf (Expanded Edition),Shakira,She Wolf,2009,76,0.6182255229493687,1.4561058573838879,0.0033692834566623753,0.043385948178064904,0.4823471459797086,-0.883047627516272,0.37438014124254015,-0.8247278887626996,0.8205599011451459,-0.5784977009521317,0.062459595000173694,0.07684638870544681,1.4599462705854824,1,positive
813,All Or Nothing,Jay Sean,Down,2009-01-01,75,-0.7302166324027239,0.46236826127954755,-0.05802353542369034,-0.1569831916357758,-0.893703683780952,-0.3042176861025231,-0.6863404232964443,0.6307063147183609,0.8205599011451459,-0.7458371276327688,0.429198154535976,0.07684638870544681,0.8478285862015581,1,positive
814,The Blueprint 3,JAY-Z,Run This Town,2009-09-08,79,0.598604684021001,-0.22172646067633858,1.4399612452569313,-0.1569831916357758,-1.1689138497330842,1.0428106724819093,0.6564471912948944,1.9608251664420693,0.8205599011451459,2.0403110337887926,-1.2224966562241324,0.07684638870544681,-0.4160403016990624,3,driving
815,Awake,Skillet,Monster,2009-08-21,75,-0.5683447112436877,-0.16411848409057966,1.6425575475620968,-0.1569831916357758,0.7575573119318407,-1.1487854174555028,-0.7100934380376952,1.6973669072356672,0.8205599011451459,-0.26087254712519015,0.5381702262696172,0.07684638870544681,0.6892945096704697,1,positive
816,So Far Gone,Drake,Best I Ever Had,2009,74,0.1522305984006282,-1.9283627670294445,1.4276826814808605,-0.1569831916357758,-1.1689138497330842,0.8021212340683241,-0.3010962154617816,1.776305711492267,0.8205599011451459,2.9462888215502034,1.5389945991817098,0.07684638870544681,0.09919544702697478,3,driving
817,iSouljaBoyTellem,Soulja Boy,Kiss Me Thru The Phone,2008-01-01,74,-0.6890128706531511,0.6855991705493634,0.13843348499343985,-0.1569831916357758,0.4823471459797086,-0.7723745591918157,-0.7932289896320732,0.9844508312932493,0.8205599011451459,0.14308696059430945,1.0869067727243236,0.07684638870544681,1.142878117523306,1,positive
818,The Time Of Our Lives,Miley Cyrus,Party In The U.S.A.,2009-01-01,74,-0.7742654157969101,-0.07770651921194133,0.05248353856094509,-0.1555608181124059,1.307977643836105,-0.5598430917014883,-0.6380921121032784,0.5473272027223275,-1.2186800727216054,-0.6030123940327345,-0.8869138702175453,0.07684638870544681,-0.28833229560457474,0,dance
819,Paper Trail,T.I.,Live Your Life,2008-09-07,74,-0.4314893597183207,-2.0723827084938415,1.0593257681987402,-0.1569831916357758,1.5831878097882373,2.7894128810634213,0.2704607017495675,1.1906784574136167,-1.2186800727216054,1.667261356475271,1.4468437197291009,0.07684638870544681,-0.2531025008198884,3,driving
820,Only By The Night,Kings of Leon,Use Somebody,2008-09-23,74,-0.7526824929757053,-2.785281418742607,0.15685133065754586,-0.15182554155538247,-1.4441240156852164,0.14273501062195118,0.19623253068315863,0.20739697689234418,0.8205599011451459,-0.5902221193819852,0.6126222860178367,0.07684638870544681,-1.596238426986053,1,positive
821,The Fame,Lady Gaga,Just Dance,2008-01-01,73,-0.6502617137696242,1.1464629832354338,0.30419409597039404,-0.15645629500885788,-1.1689138497330842,0.41630806203547976,0.04777618855034052,0.6094915110743997,-1.2186800727216054,-0.7191907221103743,-0.04691472263584036,0.07684638870544681,0.9226919001190165,0,dance
822,The Resistance,Muse,Uprising,2009-09-10,73,-0.7787683983309706,-0.43775637287293445,1.32331488938426,0.634598595283101,-0.893703683780952,1.9565980419218885,-0.4272841062746769,0.8537084367432556,0.8205599011451459,-0.2246334356147337,0.2831828919747578,0.07684638870544681,-0.5481520321416361,1,positive
823,Waking Up,OneRepublic,Secrets,2009-01-01,73,-0.42805571290585626,-1.0570421211698418,0.4576761431712775,-0.1569831916357758,-0.893703683780952,-0.005816649892313375,-0.4421297404879587,-0.2203526686731065,0.8205599011451459,-0.6605686299611065,1.014612213725193,0.07684638870544681,-0.7022823843246385,1,positive
824,Circus (Deluxe Version),Britney Spears,Circus,2008-12-02,72,-0.05869342007932817,0.9232320739656188,0.26735840464218197,-0.15227080631052434,0.2071369800275765,-0.797496366293783,-0.766506848048166,0.2769617981434729,-1.2186800727216054,-0.49642677194315693,-0.19362477357388397,0.07684638870544681,0.9931514896883892,0,dance
825,21st Century Breakdown,Green Day,21 Guns,2009-05-15,71,-0.5256693865744873,-2.842889395328366,0.3226119416345001,-0.1569831916357758,-0.06807318592455565,2.3545558692398942,3.3509298010055404,0.4131312354861076,0.8205599011451459,-0.6722930483909603,1.4445765155520918,0.07684638870544681,-0.5261334104012071,1,positive
826,Fearless (Big Machine Radio Release Special),Taylor Swift,You Belong With Me,2008-11-11,71,0.09336808161552404,0.17432837835075388,0.34102978729860606,-0.15678653303558812,0.2071369800275765,0.17603487188771677,-0.47182100891452233,0.6632685714742084,0.8205599011451459,-0.6467124990894614,0.35438041669469084,0.07684638870544681,-0.44246264778757716,1,positive
827,Paper Trail,T.I.,Whatever You Like,2008-09-07,71,-0.7007853740101718,0.12392139883821483,-0.015048562207442964,-0.1569831916357758,1.0327674778839728,0.6023955220500522,0.6416015570816125,-0.1902572495502778,-1.2186800727216054,-0.2949799461938549,1.0889180022361864,0.07684638870544681,-0.30154346864883186,0,dance
828,Relapse: Refill,Eminem,Forever,2009-05-15,71,0.44163797259405657,-1.4819009484898134,1.3294541712722951,-0.1569831916357758,-0.06807318592455565,3.2510322078600966,0.05519900565698142,1.7259822237786846,-1.2186800727216054,2.5945562686545975,-0.5944079635741231,4.779014605708969,0.01992840876143056,3,driving
829,Brand New Eyes,Paramore,The Only Exception,2009-09-28,70,-0.07340904927560421,-1.5179059338559127,-0.7763195163238251,-0.1569831916357758,-0.3432833518766878,1.0460672030321643,-0.23429086150201367,-0.4098057988889464,0.8205599011451459,-0.7607591147253095,0.6377443710114653,-4.625321828298076,-1.437704350454965,2,study
830,The Fray,The Fray,You Found Me,2009-02-02,70,-0.6880318287067326,-2.338819600202976,0.6971081368046558,-0.1569831916357758,0.7575573119318407,0.4143492466669053,-0.2862505812484998,0.1797683954025342,-1.2186800727216054,-0.610473387579005,1.15989612010028,0.07684638870544681,-0.5965929999705796,0,dance
831,La Roux,La Roux,Bulletproof,2009,69,-0.7775960532050006,0.08071541639889565,1.182111405959447,-0.15618295192306247,-0.6184935178288199,-0.47005589224445715,-0.791002144500081,1.4827520331630362,-1.2186800727216054,-0.5422585894416753,0.10023414201388238,0.07684638870544681,0.6452572661896122,0,dance
832,Man On The Moon: The End Of Day (Deluxe),Kid Cudi,Day 'N' Nite (nightmare),2009-01-01,69,1.57474142070731,1.5713218105554057,-1.5253119066641356,-0.15687088596975665,1.5831878097882373,-0.09036401823840791,-0.41243847206139517,-0.24748788263631255,-1.2186800727216054,-0.3621288881102889,0.6486781459941363,0.07684638870544681,1.1825116366560782,0,dance
833,Lungs (Deluxe Edition),Florence + The Machine,Dog Days Are Over,2009,69,-0.5757025258418257,-1.2298660509271186,0.7400831100209032,-0.11010670769167354,0.4823471459797086,0.6588828602413178,-0.4272841062746769,0.22762504548309767,0.8205599011451459,-0.14789178771023775,1.0852977891148343,0.07684638870544681,-1.2791702739238764,1,positive
834,Relapse: Refill,Eminem,Crack A Bottle,2009-05-15,69,-0.3559491298441037,-1.0570421211698418,1.1329971508551642,-0.1569831916357758,1.0327674778839728,1.7773664356973264,-0.01160634830278672,1.5814255384837859,0.8205599011451459,0.9318205640571845,1.8022828261891666,-4.625321828298076,-0.6362265191033516,1,positive
835,Tomorrow,Sean Kingston,Fire Burning,2009-09-07,68,-0.6855792238406867,1.2688799334801715,0.7032474186926911,-0.1569831916357758,-1.1689138497330842,0.3686353930027992,1.1611987545464755,1.6100408550268035,0.8205599011451459,-0.7000053101342504,0.09866172621369873,0.07684638870544681,1.552424481895284,1,positive
836,The Fame,Lady Gaga,LoveGame,2008-01-01,68,-0.7518486073212496,1.6649347725072638,-0.07030209919976102,-0.1569531362648037,0.2071369800275765,-0.210512855908343,1.0572793150535027,0.08158825760838816,-1.2186800727216054,-0.49322920328046954,-0.5576938830303053,0.07684638870544681,1.3586606105795092,0,dance
837,My World,Justin Bieber,One Time,2009-01-01,68,-0.4702405166018475,0.20313236664363252,1.004072231206422,-0.15610132005128646,-1.1689138497330842,-0.22194744062239632,-0.6870827050071083,1.6026403421277473,-1.2186800727216054,-0.6541734926357319,0.9406721033072659,0.07684638870544681,0.997555214036475,0,dance
838,Pitbull Starring In Rebelution,Pitbull,Hotel Room Service,2009-08-27,68,-0.7462076161293437,1.34809090128559,-0.358848347937422,-0.15196159467500914,-1.1689138497330842,0.31021372463506636,-0.791744426210745,-1.2949071416160725,0.8205599011451459,1.3688216146244532,0.20942562060336312,0.07684638870544681,0.891865829682416,3,driving
839,Sigh No More,Mumford & Sons,Little Lion Man,2009-10-02,68,-0.6649773429659002,-1.0282381328769623,-1.1876514028221923,-0.15672963809465332,-0.06807318592455565,0.5404235008267781,-0.6239887596006608,-1.156764234167023,0.8205599011451459,-0.7618249709462054,0.6777861222021826,0.07684638870544681,-0.1738354625543442,2,study
840,Transformers: Revenge Of The Fallen The Album,Various Artists,New Divide,2009-06-12,68,-0.7786065264098114,-1.2226650538538988,0.7278045462448325,-0.1569831916357758,-0.06807318592455565,1.0695729874550577,-0.5660907861688618,1.1896917223604089,-1.2186800727216054,-0.6648320548446897,-0.08425045593786992,0.07684638870544681,-0.6846674869322953,0,dance
841,The Fame,Lady Gaga,Paparazzi,2008-01-01,68,-0.22547055097045635,0.7144031588422428,0.015647847232733055,-0.1569831916357758,-0.06807318592455565,-0.4070554929526815,-0.5980088997274177,0.8897242661853295,-1.2186800727216054,-0.5838269820566107,-0.19633079146257165,0.07684638870544681,-0.6098041730148369,0,dance
842,Circus (Deluxe Version),Britney Spears,If U Seek Amy,2008-12-02,68,-0.6855792238406867,0.39035829054734894,-0.6289767510109769,-0.1569831916357758,-0.3432833518766878,-0.20593412498430025,-0.9075403730743431,-0.7497360247189297,-1.2186800727216054,-0.6893467479252926,0.3539416029830117,0.07684638870544681,0.03754330615377372,0,dance
843,WANT,3OH!3,DONTTRUSTME,2008-07-07,67,-0.6998043320637534,0.9232320739656188,0.1445727668814752,-0.1569831916357758,-0.06807318592455565,-0.7922810203749535,0.10715872540346776,1.0036921648307955,-1.2186800727216054,1.6566027942663133,0.35606253592279374,0.07684638870544681,-0.09456842428879998,3,driving
